Geração Tamanho
0 6016968.203429
243 6016182.810196
492 6016182.810196
740 6016182.810196
980 6016182.810196
1197 6016182.810196
1438 6016182.810196
1685 6016182.810196
1934 6016182.810196
2183 6016182.810196
2430 6016182.810196
2675 6016182.810196
2924 6016182.810196
3167 6016182.810196
3410 6016182.810196
3658 6016182.810196
3902 6016182.810196
4146 6016182.810196
4394 6016182.810196
4642 6016182.810196
4892 6016182.810196
5141 6016182.810196
5381 6016182.810196
5631 6016182.810196
5879 6016182.810196
6125 6016182.810196
6371 6016182.810196
6615 6016182.810196
6858 6016182.810196
7101 6016182.810196
7349 6016182.810196
7597 6016182.810196
7847 6016182.810196
